"c","count","prob"
"t",31492179,0.17272117717204585
"c",21159528,0.11605099109099008
"n",16241205,0.08907608604322098
"đ",14278628,0.07831218781532186
"l",11237470,0.06163273258530476
"v",10827396,0.05938365150369241
"h",9512381,0.05217135479983785
"b",8705829,0.04774776090084255
"s",7934423,0.043516927829635274
"m",7812339,0.042847349132211
"k",6883777,0.03775458239424634
"p",5851539,0.032093196991803456
"d",5242744,0.028754215936969
"g",5027041,0.027571176932918443
"q",3068926,0.016831750872935723
"a",2727906,0.01496140154464024
"r",2499605,0.013709267880927887
"x",2067817,0.01134109476566764
"f",1099179,0.00602852825149991
"i",1019187,0.00558980623088818
"ở",936881,0.005138392906699899
"o",844464,0.004631525057679068
"e",830321,0.004553956731627566
"j",772054,0.0042343870749746056
"w",718480,0.003940556522766224
"y",568760,0.00311940614615371
"ô",553400,0.0030351630938910317
"u",496475,0.0027229537351636246
"á",315579,0.0017308162884117056
"â",224181,0.001229537220006479
"ả",194571,0.001067138992304792
"ý",155054,0.0008504050928084207
"ấ",146011,0.0008008080927035118
"z",144989,0.0007952028583667633
"ư",122815,0.0006735879208099513
"ủ",116182,0.0006372087433582361
"ứ",107140,0.0005876172278270422
"ă",98542,0.0005404608630253163
"í",77477,0.00042492831771845943
"ú",55074,0.00030205741278090836
"ẩ",38051,0.00020869351443015475
"ố",33244,0.00018232916858206263
"ổ",23194,0.00012720920274613044
"é",21189,0.0001162126324475191
"ơ",8092,4.4381170501926685e-05
"ế",7827,4.2927758467446886e-05
"à",4832,2.650146019096759e-05
"ê",4605,2.5256461957658477e-05
"ó",3812,2.09071950016491e-05
"ớ",3282,1.8000370932689495e-05
"ồ",2576,1.4128261889886697e-05
"ụ",1370,7.513865989574834e-06
"ỷ",1343,7.3657824992693455e-06
"ắ",1115,6.115299692245212e-06
"ạ",1050,5.758802400769034e-06
"ỏ",951,5.2158296029822394e-06
"ù",828,4.54122703603501e-06
"ậ",546,2.9945772483998975e-06
"è",544,2.9836081009698615e-06
"ầ",472,2.588718793488556e-06
"ỉ",411,2.2541597968724505e-06
"ờ",287,1.5740726562102025e-06
"ợ",234,1.2833902493142418e-06
"ử",216,1.1846679224439155e-06
"ò",189,1.0365844321384262e-06
"ĩ",180,9.872232687032628e-07
"ì",137,7.513865989574835e-07
"ẵ",117,6.416951246571209e-07
"ộ",114,6.252414035120665e-07
"ừ",102,5.594265189318489e-07
"ẳ",102,5.594265189318489e-07
"ọ",98,5.374882240717765e-07
"ẹ",90,4.936116343516314e-07
"ễ",84,4.607041920615227e-07
"ị",82,4.4973504463148643e-07
"ã",81,4.442504709164683e-07
"ẻ",81,4.442504709164683e-07
"õ",68,3.729510126212327e-07
"ự",51,2.7971325946592447e-07
"ũ",43,2.358366697457795e-07
"ỳ",40,2.193829486007251e-07
"ỹ",36,1.974446537406526e-07
"ệ",32,1.7550635888058007e-07
"ẽ",29,1.590526377355257e-07
"ặ",28,1.5356806402050758e-07
"ỡ",27,1.4808349030548944e-07
"ề",24,1.3162976916043506e-07
"ữ",23,1.2614519544541692e-07
"ể",22,1.206606217303988e-07
"ẫ",21,1.1517604801538068e-07
"ỗ",19,1.0420690058534442e-07
"ằ",18,9.87223268703263e-08
"ỵ",18,9.87223268703263e-08
